Date,CompetitorAVG
2024-07-01,0.181553
2024-08-01,0.179536
2024-09-01,0.179013
2024-10-01,0.178852
2024-11-01,0.175457
2024-12-01,0.175507
2025-01-01,0.18369
2025-02-01,0.168275
2025-03-01,0.170028
2025-04-01,0.169261
2025-05-01,0.167142
2025-06-01,0.169283
2025-07-01,0.170781
2025-08-01,0.165941
2025-09-01,0.16613
2025-10-01,0.167772
2025-11-01,0.170357
2025-12-01,0.170683
2026-01-01,0.166901
2026-02-01,0.16017
2026-03-01,0.158918
2026-04-01,0.158798
2026-05-01,0.159976
